state_dist,electionyear,cong,name,republican,rep_twoparty_pres,rep_voteshare,cvp
"CA_11",2008,111,"MCNERNEY",0,.4972171,.447252,-.0135225
"CA_11",2010,112,"MCNERNEY",0,.4972171,.4941727,-.6142607
"CA_12",2002,108,"LANTOS",0,.2588126,.2665755,-.4237161
"CA_12",2004,109,"LANTOS",0,.2588126,.2343247,-.4180292
"CA_12",2008,111,"SPEIER",0,.2588126,.1972687,-.0498814
"CA_12",2010,112,"SPEIER",0,.2588126,.226314,-.6486384
"CA_13",2002,108,"STARK",0,.2638631,.2369009,-.5135449
"CA_13",2004,109,"STARK",0,.2638631,.2509221,-.5174745
"CA_13",2006,110,"STARK",0,.2638631,.2511275,-.0878475
"CA_13",2008,111,"STARK",0,.2638631,.235697,-.0683618
"CA_13",2010,112,"STARK",0,.2638631,.2781457,-.6903457
"CA_14",2002,108,"ESHOO",0,.2806122,.2922957,-.4250685
"CA_14",2004,109,"ESHOO",0,.2806122,.2757456,-.4221655
"CA_14",2006,110,"ESHOO",0,.2806122,.2541453,-.0751046
"CA_14",2008,111,"ESHOO",0,.2806122,.2415597,-.0638356
"CA_14",2010,112,"ESHOO",0,.2806122,.2871628,-.6460439
"CA_15",2002,108,"HONDA",0,.3348794,.3204384,-.4554616
"CA_15",2004,109,"HONDA",0,.3348794,.2797124,-.4564644
"CA_15",2006,110,"HONDA",0,.3348794,.2766501,-.0957887
"CA_15",2008,111,"HONDA",0,.3348794,.2450213,-.0683322
"CA_15",2010,112,"HONDA",0,.3348794,.3240254,-.6895322
"CA_16",2002,108,"LOFGREN",0,.3282828,.3078086,-.4244429
"CA_16",2004,109,"LOFGREN",0,.3282828,.2708138,-.4284473
"CA_16",2006,110,"LOFGREN",0,.3282828,.2728963,-.0776769
"CA_16",2008,111,"LOFGREN",0,.3282828,.2521901,-.0615987
"CA_16",2010,112,"LOFGREN",0,.3282828,.2637353,-.6456648
"CA_17",2002,108,"FARR",0,.2993197,.2841103,-.4544747
"CA_17",2004,109,"FARR",0,.2993197,.3041784,-.4505172
"CA_17",2006,110,"FARR",0,.2993197,.2293307,-.0840213
"CA_17",2008,111,"FARR",0,.2993197,.2589979,-.0700968
"CA_17",2010,112,"FARR",0,.2993197,.3093247,-.6643002
"CA_18",2002,108,"CARDOZA",0,.4515049,.4582823,-.3371209
"CA_18",2004,109,"CARDOZA",0,.4515049,.3251228,-.3155678
"CA_18",2006,110,"CARDOZA",0,.4515049,.3452301,-.0539854
"CA_18",2008,111,"CARDOZA",0,.4515049,0,-.0291553
"CA_18",2010,112,"CARDOZA",0,.4515049,.4151595,-.4506187
"CA_19",2002,108,"RADANOVI",1,.5733869,.6914108,.069854
"CA_19",2004,109,"RADANOVI",1,.5733869,.7080824,.1124198
"CA_19",2006,110,"RADANOVI",1,.5733869,.6057673,.5360366
"CA_19",2008,111,"RADANOVI",1,.5733869,1,.4113988
"CA_19",2010,112,"DENHAM",1,.5733869,.6474539,.0512447
"CA_2",2002,108,"HERGER",1,.5937436,.6918074,.1038885
"CA_2",2004,109,"HERGER",1,.5937436,.6685008,.1249219
"CA_2",2006,110,"HERGER",1,.5937436,.6641119,.5324223
"CA_2",2008,111,"HERGER",1,.5937436,.5789499,.4424419
"CA_2",2010,112,"HERGER",1,.5937436,.5715178,.0941371
"CA_20",2002,108,"DOOLEY",0,.4393939,.3498464,-.3170116
"CA_20",2004,109,"COSTA",0,.4393939,.4659739,-.3092602
"CA_20",2006,110,"COSTA",0,.4393939,0,-.0389217
"CA_20",2008,111,"COSTA",0,.4393939,.2566545,-.0083978
"CA_20",2010,112,"COSTA",0,.4393939,.4829502,-.3741607
"CA_21",2002,108,"NUNES",1,.6139971,.728756,.0631154
"CA_21",2004,109,"NUNES",1,.6139971,.7317214,.087293
"CA_21",2006,110,"NUNES",1,.6139971,.6902966,.5275823
"CA_21",2008,111,"NUNES",1,.6139971,.6839263,.4346269
"CA_21",2010,112,"NUNES",1,.6139971,1,.0698421
"CA_22",2002,108,"THOMAS",1,.6495568,.7555013,.0490058
"CA_22",2004,109,"THOMAS",1,.6495568,1,.0668026
"CA_22",2006,110,"MCCARTHY",1,.6495568,.7070301,.515412
"CA_22",2008,111,"MCCARTHY",1,.6495568,1,.4040424
"CA_22",2010,112,"MCCARTHY",1,.6495568,1,.0740661
"CA_23",2002,108,"CAPPS",0,.3673469,.3953371,-.4346419
"CA_23",2004,109,"CAPPS",0,.3673469,.3527696,-.4475063
"CA_23",2006,110,"CAPPS",0,.3673469,.3482689,-.0865844
"CA_23",2008,111,"CAPPS",0,.3673469,.3192567,-.0663636
"CA_23",2010,112,"CAPPS",0,.3673469,.3942508,-.6539779
"CA_24",2002,108,"GALLEGLY",1,.5252525,.6723821,.0571831
"CA_24",2004,109,"GALLEGLY",1,.5252525,.6495381,.0886869
"CA_24",2006,110,"GALLEGLY",1,.5252525,.6202998,.4992945
"CA_24",2008,111,"GALLEGLY",1,.5252525,.5815392,.3807332
"CA_24",2010,112,"GALLEGLY",1,.5252525,.599395,.0460175
"CA_25",2002,108,"MCKEON",1,.5454025,.67623,.0596004
"CA_25",2004,109,"MCKEON",1,.5454025,.6442227,.0898622
"CA_25",2006,110,"MCKEON",1,.5454025,.6269979,.5142913
"CA_25",2008,111,"MCKEON",1,.5454025,.5772799,.3767747
"CA_25",2010,112,"MCKEON",1,.5454025,.6183259,.0440212
"CA_26",2002,108,"DREIER",1,.5175737,.655661,.0463486
"CA_26",2004,109,"DREIER",1,.5175737,.5559107,.0796758
"CA_26",2006,110,"DREIER",1,.5175737,.6004968,.5084107
"CA_26",2008,111,"DREIER",1,.5175737,.5655047,.3758522
"CA_26",2010,112,"DREIER",1,.5175737,.597108,.032352
"CA_27",2002,108,"SHERMAN",0,.3622449,.3803713,-.4225036
"CA_27",2004,109,"SHERMAN",0,.3622449,.3482382,-.4118758
"CA_27",2006,110,"SHERMAN",0,.3622449,.3122977,-.0721954
"CA_27",2008,111,"SHERMAN",0,.3622449,.2660371,-.0596557
"CA_27",2010,112,"SHERMAN",0,.3622449,.3484932,-.6345461
"CA_28",2002,108,"BERMAN",0,.253659,.2449,-.4206162
"CA_28",2004,109,"BERMAN",0,.253659,.247227,-.4297475
"CA_28",2006,110,"BERMAN",0,.253659,.2052739,-.0771413
"CA_28",2008,111,"BERMAN",0,.253659,0,-.0654971
"CA_28",2010,112,"BERMAN",0,.253659,.2437841,-.643155
"CA_29",2002,108,"SCHIFF",0,.3418367,.3481809,-.4058726
"CA_29",2004,109,"SCHIFF",0,.3418367,.3198875,-.398449
"CA_29",2006,110,"SCHIFF",0,.3418367,.3016918,-.0672264
"CA_29",2008,111,"SCHIFF",0,.3418367,.2795466,-.0560692
"CA_29",2010,112,"SCHIFF",0,.3418367,.3305411,-.6295498
"CA_3",2002,108,"OSE",1,.5429293,.6445348,.0347791
"CA_3",2004,109,"LUNGREN",1,.5429293,.6398908,.0992877
"CA_3",2006,110,"LUNGREN",1,.5429293,.6112275,.5263151
"CA_3",2008,111,"LUNGREN",1,.5429293,.5297432,.3984556
"CA_3",2010,112,"LUNGREN",1,.5429293,.5369244,.0363182
"CA_30",2002,108,"WAXMAN",0,.3095238,.2962881,-.4428888
"CA_30",2004,109,"WAXMAN",0,.3095238,.2875748,-.4492167
"CA_30",2006,110,"WAXMAN",0,.3095238,.2698226,-.073645
"CA_30",2008,111,"WAXMAN",0,.3095238,0,-.0667012
"CA_30",2010,112,"WAXMAN",0,.3095238,.3307681,-.6623617
"CA_31",2002,108,"BECERRA",0,.2029478,.1884806,-.4537299
"CA_31",2004,109,"BECERRA",0,.2029478,.1978979,-.4531028
"CA_31",2006,110,"BECERRA",0,.2029478,0,-.0833532
"CA_31",2008,111,"BECERRA",0,.2029478,0,-.0668613
"CA_31",2010,112,"BECERRA",0,.2029478,.1617949,-.6698449
"CA_32",2002,108,"SOLIS",0,.3399299,.2853131,-.4634019
"CA_32",2004,109,"SOLIS",0,.3399299,0,-.4555336
"CA_32",2006,110,"SOLIS",0,.3399299,0,-.0889262
"CA_32",2010,112,"CHU",0,.3399299,.2895867,-.6840778
"CA_33",2002,108,"WATSON",0,.1414141,.1458708,-.4603621
"CA_33",2004,109,"WATSON",0,.1414141,0,-.4725356
"CA_33",2006,110,"WATSON",0,.1414141,0,-.0864634
"CA_33",2008,111,"WATSON",0,.1414141,.1243137,-.069109
"CA_33",2010,112,"BASS",0,.1414141,.1391882,-.6821718
"CA_34",2002,108,"ROYBAL-A",0,.2688621,.2596318,-.4384624
"CA_34",2004,109,"ROYBAL-A",0,.2688621,.2550766,-.4245042
"CA_34",2006,110,"ROYBAL-A",0,.2688621,.2320164,-.0796836
"CA_34",2008,111,"ROYBAL-A",0,.2688621,.229054,-.0631605
"CA_34",2010,112,"ROYBAL-A",0,.2688621,.2277073,-.6664298
"CA_35",2002,108,"WATERS",0,.1724387,.1999447,-.4985974
"CA_35",2004,109,"WATERS",0,.1724387,.1577571,-.4763219
"CA_35",2006,110,"WATERS",0,.1724387,0,-.08935
"CA_35",2008,111,"WATERS",0,.1724387,.1381504,-.0738039
"CA_35",2010,112,"WATERS",0,.1724387,.2066504,-.6668862
"CA_36",2002,108,"HARMAN",0,.3754896,.3633109,-.3883263
"CA_36",2004,109,"HARMAN",0,.3754896,.3506875,-.3844315
"CA_36",2006,110,"HARMAN",0,.3754896,.3350443,-.0615661
"CA_36",2008,111,"HARMAN",0,.3754896,.3135562,-.0546053
"CA_37",2002,108,"MILLENDE",0,.2222222,.2410794,-.4380347
"CA_37",2004,109,"MILLENDE",0,.2222222,.2119603,-.4308459
"CA_37",2008,111,"RICHARDSON",0,.2222222,0,-.0489244
"CA_37",2010,112,"RICHARDSON",0,.2222222,.2536492,-.6064121
"CA_38",2002,108,"NAPOLITA",0,.3094723,.2697664,-.4390512
"CA_38",2004,109,"NAPOLITA",0,.3094723,0,-.435321
"CA_38",2006,110,"NAPOLITA",0,.3094723,.2466909,-.0814347
"CA_38",2008,111,"NAPOLITA",0,.3094723,0,-.0660997
"CA_38",2010,112,"NAPOLITA",0,.3094723,.2654501,-.6786867
"CA_39",2002,108,"SANCHEZ",0,.3669687,.4268981,-.4627628
"CA_39",2004,109,"SANCHEZ",0,.3669687,.393007,-.457079
"CA_39",2006,110,"SANCHEZ",0,.3669687,.3413035,-.0919684
"CA_39",2008,111,"SANCHEZ",0,.3669687,.303261,-.0749434
"CA_39",2010,112,"SANCHEZ",0,.3669687,.3400309,-.6893368
"CA_4",2002,108,"DOOLITTL",1,.5867347,.6701033,.0802264
"CA_4",2004,109,"DOOLITTL",1,.5867347,.6539372,.103086
"CA_4",2006,110,"DOOLITTL",1,.5867347,.5167779,.5094021
"CA_4",2008,111,"MCCLINTOCK",1,.5867347,.5024339,.4715919
"CA_4",2010,112,"MCCLINTOCK",1,.5867347,.6608651,.0719088
"CA_40",2002,108,"ROYCE",1,.5632344,.6965415,.098237
"CA_40",2004,109,"ROYCE",1,.5632344,.6793203,.1294168
"CA_40",2006,110,"ROYCE",1,.5632344,.6851159,.577082
"CA_40",2008,111,"ROYCE",1,.5632344,.6254904,.4517059
"CA_40",2010,112,"ROYCE",1,.5632344,.6678874,.0793793
"CA_41",2002,108,"LEWIS",1,.5886415,.6945946,.0561707
"CA_41",2004,109,"LEWIS",1,.5886415,1,.0788785
"CA_41",2006,110,"LEWIS",1,.5886415,.6692907,.4514075
"CA_41",2008,111,"LEWIS",1,.5886415,.6164901,.3748481
"CA_41",2010,112,"LEWIS",1,.5886415,.6321699,.0380039
"CA_42",2002,108,"MILLER",1,.5835395,.7005677,.093111
"CA_42",2004,109,"MILLER",1,.5835395,.6813617,.1312963
"CA_42",2006,110,"MILLER",1,.5835395,1,.5280669
"CA_42",2008,111,"MILLER",1,.5835395,.6015806,.3844869
"CA_42",2010,112,"MILLER",1,.5835395,.6613221,.0792226
"CA_43",2002,108,"BACA",0,.3601319,.3145404,-.3906984
"CA_43",2004,109,"BACA",0,.3601319,.3363346,-.3704796
"CA_43",2006,110,"BACA",0,.3601319,.3551063,-.0639121
"CA_43",2008,111,"BACA",0,.3601319,.3085629,-.0480099
"CA_43",2010,112,"BACA",0,.3601319,.3450372,-.6147928
"CA_44",2002,108,"CALVERT",1,.5454546,.6685381,.0555201
"CA_44",2004,109,"CALVERT",1,.5454546,.6378261,.0824835
"CA_44",2006,110,"CALVERT",1,.5454546,.6183456,.4784063
"CA_44",2008,111,"CALVERT",1,.5454546,.5119116,.3656648
"CA_44",2010,112,"CALVERT",1,.5454546,.5561351,.0363692
"CA_45",2002,108,"BONO",1,.520202,.6659454,.0154244
"CA_45",2004,109,"BONO",1,.520202,.6660722,.0481081
"CA_45",2006,110,"BONO",1,.520202,.6066204,.4413621
"CA_45",2008,111,"BONO MACK",1,.520202,.5829101,.3637212
"CA_45",2010,112,"BONO MACK",1,.520202,.5499218,.0565894
"CA_46",2002,108,"ROHRABAC",1,.5429808,.641184,.073827
"CA_46",2004,109,"ROHRABAC",1,.5429808,.6552685,.1127175
"CA_46",2006,110,"ROHRABAC",1,.5429808,.6187836,.5486764
"CA_46",2008,111,"ROHRABAC",1,.5429808,.5493695,.4298026
"CA_46",2010,112,"ROHRABAC",1,.5429808,.6220891,.0630584
"CA_47",2002,108,"SANCHEZ",0,.4464028,.3642048,-.4201744
"CA_47",2004,109,"SANCHEZ",0,.4464028,.3961924,-.4190055
"CA_47",2006,110,"SANCHEZ",0,.4464028,.376691,-.0759107
"CA_47",2008,111,"SANCHEZ",0,.4464028,.2679396,-.0510791
"CA_47",2010,112,"SANCHEZ",0,.4464028,.4256985,-.6445473
"CA_48",2002,108,"COX",1,.5459183,.7064654,.0929596
"CA_48",2006,110,"CAMPBELL",1,.5459183,.6167566,.5817502
"CA_48",2008,111,"CAMPBELL",1,.5459183,.5775938,.4740317
"CA_48",2010,112,"CAMPBELL",1,.5459183,.6218572,.0660732
"CA_49",2002,108,"ISSA",1,.58859,1,.0544851
"CA_49",2004,109,"ISSA",1,.58859,.6418141,.0834746
"CA_49",2006,110,"ISSA",1,.58859,.6542586,.5398428
"CA_49",2008,111,"ISSA",1,.58859,.6088406,.4385888
"CA_49",2010,112,"ISSA",1,.58859,.6660328,.0859694
"CA_5",2002,108,"MATSUI",0,.3347763,.2725946,-.4236934
"CA_5",2004,109,"MATSUI",0,.3347763,.2463904,-.433566
"CA_5",2006,110,"MATSUI",0,.3347763,.2493643,-.0847943
"CA_5",2008,111,"MATSUI",0,.3347763,.2188029,-.0671619
"CA_5",2010,112,"MATSUI",0,.3347763,.2597007,-.6664521
"CA_50",2002,108,"CUNNINGH",1,.5175737,.6654388,.062696
"CA_50",2006,110,"BILBRAY",1,.5175737,.5498672,.5177132
"CA_50",2008,111,"BILBRAY",1,.5175737,.5265213,.3616043
"CA_50",2010,112,"BILBRAY",1,.5175737,.5925354,.0046454
"CA_51",2002,108,"FILNER",0,.4108947,.4044173,-.4935046
"CA_51",2004,109,"FILNER",0,.4108947,.3630742,-.4619618
"CA_51",2006,110,"FILNER",0,.4108947,.3090008,-.0808502
"CA_51",2008,111,"FILNER",0,.4108947,.2496888,-.0678929
"CA_51",2010,112,"FILNER",0,.4108947,.3994691,-.7276405
"CA_52",2002,108,"HUNTER",1,.5784889,.7314652,.0720298
"CA_52",2004,109,"HUNTER",1,.5784889,.7149999,.110199
"CA_52",2006,110,"HUNTER",1,.5784889,.6689742,.5033315
"CA_52",2008,111,"HUNTER",1,.5784889,.5913863,.4075637
"CA_52",2010,112,"HUNTER",1,.5784889,.6630533,.0835687
"CA_53",2004,109,"DAVIS",0,.3449804,.3037709,-.4068886
"CA_53",2006,110,"DAVIS",0,.3449804,.3074979,-.0686073
"CA_53",2008,111,"DAVIS",0,.3449804,.2861316,-.0559925
"CA_53",2010,112,"DAVIS",0,.3449804,.3532062,-.6262337
"CA_6",2002,108,"WOOLSEY",0,.255102,.3074895,-.4803611
"CA_6",2004,109,"WOOLSEY",0,.255102,.2735099,-.4911489
"CA_6",2006,110,"WOOLSEY",0,.255102,.2710705,-.0974143
"CA_6",2008,111,"WOOLSEY",0,.255102,.2512608,-.0783987
"CA_6",2010,112,"WOOLSEY",0,.255102,.3099685,-.6798488
"CA_7",2002,108,"MILLER",0,.2979798,.2721356,-.4938596
"CA_7",2004,109,"MILLER",0,.2979798,.2391769,-.4765533
"CA_7",2006,110,"MILLER",0,.2979798,0,-.0929827
"CA_7",2008,111,"MILLER",0,.2979798,.2303447,-.0704671
"CA_7",2010,112,"MILLER",0,.2979798,.3167651,-.6780814
"CA_8",2002,108,"PELOSI",0,.1325628,.1357929,-.4509695
"CA_8",2004,109,"PELOSI",0,.1325628,.1218153,-.4476957
"CA_8",2006,110,"PELOSI",0,.1325628,.1176925,-.1368441
"CA_8",2008,111,"PELOSI",0,.1325628,.1187137,-.2001835
"CA_8",2010,112,"PELOSI",0,.1325628,.1588187,-.6559432
"CA_9",2002,108,"LEE",0,.116677,.1571273,-.4849987
"CA_9",2004,109,"LEE",0,.116677,.1266788,-.5024258
"CA_9",2006,110,"LEE",0,.116677,.1105456,-.099357
"CA_9",2008,111,"LEE",0,.116677,.1012557,-.0803421
"CA_9",2010,112,"LEE",0,.116677,.1133131,-.6996477
"CO_1",2002,108,"DEGETTE",0,.2790146,.3086843,-.4361286
"CO_1",2004,109,"DEGETTE",0,.2790146,.2488334,-.4379533
"CO_1",2006,110,"DEGETTE",0,.2790146,0,-.083739
"CO_1",2008,111,"DEGETTE",0,.2790146,.2484157,-.0616273
"CO_1",2010,112,"DEGETTE",0,.2790146,.2990041,-.6638285
"CO_2",2002,108,"UDALL",0,.3805401,.3795889,-.4223303
"CO_2",2004,109,"UDALL",0,.3805401,.3117262,-.3981279
"CO_2",2006,110,"UDALL",0,.3805401,.2932016,-.0508874
"CO_2",2008,111,"POLIS",0,.3805401,.3510284,-.049442
"CO_2",2010,112,"POLIS",0,.3805401,.3976289,-.6034271
"CO_3",2002,108,"MCINNIS",1,.5355098,.6778722,.0783378
"CO_3",2004,109,"SALAZAR",0,.5355098,.4794422,-.3080126
"CO_3",2006,110,"SALAZAR",0,.5355098,.372422,-.0436196
"CO_3",2008,111,"SALAZAR",0,.5355098,.3838725,-.0278643
"CO_3",2010,112,"TIPTON",1,.5355098,.5226623,.0355766
"CO_4",2002,108,"MUSGRAVE",1,.5454546,.5686687,.1082643
"CO_4",2004,109,"MUSGRAVE",1,.5454546,.532698,.1379654
"CO_4",2006,110,"MUSGRAVE",1,.5454546,.5140153,.5376998
"CO_4",2008,111,"MARKEY",0,.5454546,.4380313,-.002437
"CO_4",2010,112,"GARDNER",1,.5454546,.5592719,.0630584
"CO_5",2002,108,"HEFLEY",1,.6313131,.7375608,.0639284
"CO_5",2004,109,"HEFLEY",1,.6313131,.7229267,.1086431
"CO_5",2006,110,"LAMBORN",1,.6313131,.596357,.5949016
"CO_5",2008,111,"LAMBORN",1,.6313131,.6184176,.4751394
"CO_5",2010,112,"LAMBORN",1,.6313131,.6919472,.1099163
"CO_6",2002,108,"TANCREDO",1,.5707071,.6901224,.0887557
"CO_6",2004,109,"TANCREDO",1,.5707071,.6033722,.1196219
"CO_6",2006,110,"TANCREDO",1,.5707071,.5951959,.5804436
"CO_6",2008,111,"COFFMAN",1,.5707071,.6066895,.4332694
"CO_6",2010,112,"COFFMAN",1,.5707071,.6761646,.0519059
"CO_7",2004,109,"BEAUPREZ",1,.4444444,.5611452,.1240864
"CO_7",2006,110,"PERLMUTTER",0,.4444444,.4336554,-.0486386
"CO_7",2008,111,"PERLMUTTER",0,.4444444,.3651795,-.0441916
"CO_7",2010,112,"PERLMUTTER",0,.4444444,.4386102,-.5584158
"CT_1",2002,108,"LARSON",0,.3636363,.3320738,-.437088
"CT_1",2004,109,"LARSON",0,.3636363,.2701916,-.4334185
"CT_1",2006,110,"LARSON",0,.3636363,.2554095,-.0824587
"CT_1",2008,111,"LARSON",0,.3636363,.2665483,-.0642648
"CT_1",2010,112,"LARSON",0,.3636363,.3778425,-.6436402
"CT_2",2002,108,"SIMMONS",1,.42651,.5409013,-.0276545
